Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	tree_length
0	-749.2664	-821.1874	71.92098	0.00649961	0.014267	0.02735	0.0393513	0.000102017	0.00140665	0.0035175	0.000885323	0.00212053	0.008414	0.00973817	0.00142867	0.000653554	0.000548742	0.00675544	0.00169756	0.0131365	0.0114208	0.0136375	0.0165803	0.0217625	0.037658	0.00625684	0.009405	0.00249926	0.000457293	0.0110557	0.0273098	0.0233152	0.0133381	0.00491198	0.00590066	0.0139704	0.00817587	0.036034	0.00716515	0.0103048	0.00409535	0.0529801	0.000752603	0.00252949	0.0173889	0.00446629	0.00192765	0.00998958	0.0185991	0.0114756	0.0604221	0.0269715	0.00210653	0.00683307	0.793292	1.08421	0.0320959	0.186892	0.592584	1.68752	5.35067	31.1566	2.486654	0.2980896	0.0101625	0.0223071	0.0427632	0.0615278	0.000159509	0.00219936	0.00549979	0.00138425	0.00331556	0.0131557	0.0152261	0.0022338	0.00102187	0.000857986	0.0105625	0.00265421	0.0205396	0.017857	0.0213229	0.0259242	0.0340267	0.0588802	0.00978289	0.0147052	0.00390771	0.000715001	0.0172862	0.0427003	0.0364545	0.0208548	0.00768012	0.00922598	0.0218435	0.0127834	0.056341	0.0112031	0.0161121	0.00640329	0.0828371	0.00117673	0.00395498	0.0271884	0.00698327	0.00301398	0.0156192	0.0290806	0.0179427	0.094473	0.0421714	0.00329367	0.0106839	0.6395698
36	-742.6258	-814.268	71.64222	0.01624	0.00694793	0.00815929	0.0149067	0.00150586	0.000439994	0.00047209	0.00160438	0.000314392	0.00220798	0.00846522	0.000837348	0.00159606	0.00125794	0.00872145	0.000133162	0.00304774	0.00538501	0.00279711	0.0041596	0.0104745	0.00311647	0.00218495	0.00216793	0.00036361	0.000192564	0.0036565	0.011456	0.0130647	0.00277855	0.00198347	0.00312321	0.00396021	0.00113792	0.0300062	0.0018388	0.00170982	0.00226094	0.0323153	0.000622499	0.00338723	0.00298119	0.00311413	0.00206778	0.000371936	0.00627793	0.00184612	0.0223311	0.00534939	0.0043656	0.00234437	0.488949	1.20821	0.0154603	0.130881	0.530251	1.8859	7.64052	64.6818	3.014821	0.1648738	0.059695	0.0255392	0.0299919	0.054794	0.00553524	0.00161733	0.00173531	0.00589738	0.00115564	0.00811608	0.0311164	0.00307792	0.00586678	0.00462394	0.0320583	0.000489477	0.0112029	0.0197942	0.0102816	0.0152898	0.0385021	0.0114555	0.00803144	0.00796887	0.00133655	0.000707827	0.0134406	0.0421098	0.048023	0.0102134	0.00729082	0.0114803	0.0145569	0.00418275	0.110297	0.00675906	0.00628495	0.00831075	0.118784	0.00228818	0.0124507	0.0109583	0.0114469	0.00760074	0.00136716	0.0230764	0.00678595	0.0820844	0.0196632	0.016047	0.00861743	0.27205
72	-742.4214	-814.5618	72.14043	0.130599	0.0236964	0.0645993	0.0693173	0.0111197	0.00879987	0.0048672	0.00234726	0.0131841	0.00971024	0.0267511	0.000867305	0.00300248	0.00376926	0.0143428	0.0106609	0.00765921	0.0262617	0.0783506	0.0333238	0.012226	0.00993609	0.0143422	0.0152545	0.0106852	9.25183e-05	0.0262049	0.0134524	0.0109798	0.0268145	0.0105594	0.0368659	0.0541657	0.00454915	0.0107387	0.000702007	0.0233097	0.0216395	0.208435	0.00112599	0.0550891	0.00134784	0.00955866	0.0286906	0.00530436	0.0338484	0.0111005	0.0912037	0.00354599	0.017026	0.0211502	0.328681	1.2735	0.0473494	0.225916	0.6287	1.59058	4.42642	21.1196	2.205505	0.1051487	0.0979612	0.0177744	0.0484553	0.0519942	0.00834078	0.00660069	0.00365083	0.00176065	0.00988927	0.00728355	0.0200657	0.000650557	0.00225213	0.00282728	0.0107584	0.00799666	0.00574509	0.0196987	0.0587699	0.0249958	0.0091706	0.00745295	0.0107579	0.0114422	0.00801482	6.9397e-05	0.019656	0.0100905	0.00823587	0.0201133	0.00792047	0.0276527	0.0406291	0.00341227	0.00805498	0.000526568	0.0174843	0.0162315	0.156345	0.000844593	0.0413218	0.001011	0.00716985	0.0215205	0.00397875	0.0253893	0.00832637	0.068411	0.00265981	0.012771	0.0158645	1.333174
108	-753.2508	-825.7321	72.4813	0.0317145	0.0169959	0.0268366	0.0379244	0.00664562	0.0036082	0.00303752	0.0117552	0.00978751	0.0015264	0.0207791	0.00125861	0.00381192	0.0100136	0.0274283	0.0122249	0.00833765	0.0180402	0.0195495	0.0260961	0.00344494	0.0396455	0.0273285	0.000962434	0.00509035	0.00797188	0.0102631	0.022604	0.0141047	0.00545834	0.00853833	0.0264583	0.0569687	0.00757705	0.0162119	0.00533936	0.0149136	0.00373699	0.0860481	0.000402535	0.0414883	0.00352902	0.0165164	0.00783763	0.00365414	0.0112433	0.00609582	0.0753089	0.00220695	0.0119312	0.0128895	0.397484	1.24547	0.0427198	0.214859	0.618934	1.61568	4.65421	23.4084	2.279903	0.1300216	0.0371739	0.0199216	0.0314563	0.0444526	0.00778959	0.00422931	0.00356039	0.0137787	0.0114723	0.00178916	0.024356	0.00147527	0.0044681	0.0117373	0.0321497	0.0143292	0.00977289	0.0211456	0.0229148	0.0305882	0.00403795	0.04647	0.0320328	0.00112811	0.0059666	0.00934415	0.0120297	0.0264951	0.0165326	0.00639793	0.0100081	0.0310129	0.0667752	0.00888136	0.0190026	0.00625848	0.0174808	0.00438027	0.10086	0.000471826	0.0486301	0.0041365	0.0193595	0.00918679	0.00428316	0.0131787	0.00714514	0.0882724	0.00258685	0.013985	0.0151083	0.8531412
144	-748.626	-820.7167	72.09077	0.0886532	0.0302214	0.0677201	0.00328768	0.00264675	0.000737288	0.00474907	0.00341561	0.00200318	0.00520767	0.0181693	0.00267975	0.00609025	0.00598873	0.00946688	0.00877666	0.0236635	0.0147639	0.0334671	0.0566839	0.0104315	0.00932807	0.0349907	0.00401111	0.019986	0.0217351	0.0127601	0.00802313	0.00437471	0.0218947	0.0423991	0.0548211	0.0380486	0.00478758	0.0142128	0.00178939	0.0175671	0.00983354	0.260851	0.00438876	0.0155566	0.000373561	0.00519696	0.00896867	0.0119144	0.0120151	0.00439021	0.100417	0.0330603	0.0303852	0.012868	0.474422	1.21412	0.0483516	0.228236	0.630707	1.58552	4.38143	20.6818	2.190361	0.1591955	0.0726801	0.0247763	0.0555187	0.00269532	0.00216987	0.000604447	0.00389341	0.0028002	0.00164226	0.00426938	0.0148956	0.00219692	0.00499294	0.00490971	0.00776119	0.00719533	0.0193999	0.0121038	0.0274372	0.0464709	0.00855204	0.00764738	0.0286863	0.00328841	0.016385	0.017819	0.010461	0.00657756	0.0035865	0.0179498	0.0347598	0.0449437	0.0311932	0.00392498	0.011652	0.00146699	0.0144019	0.00806178	0.213852	0.00359802	0.0127537	0.000306255	0.0042606	0.00735274	0.00976772	0.00985027	0.0035992	0.0823247	0.0271037	0.0249106	0.0105495	1.219772
180	-755.5032	-828.0108	72.50761	0.0106471	0.00123011	0.0219988	0.00556978	0.00364237	0.00278711	0.00405731	0.0100353	0.00156188	0.00502688	0.0197666	0.00127466	0.00630859	0.000951262	0.0135936	0.00151258	0.0110363	0.00990676	0.012569	0.00248509	0.00439147	0.0124227	6.31682e-05	0.00412159	0.00531944	0.00531518	0.00359583	0.00923636	0.0269993	0.00831008	0.0105188	0.00557943	0.0183984	0.00655957	0.00100682	0.00179412	0.0031038	0.00619239	0.0562247	0.00581111	0.0109353	0.00614006	0.00694005	0.0217476	0.0070635	0.00249079	0.000335074	0.0449137	0.0109279	0.0156865	0.0115673	0.405826	1.24207	0.0355315	0.196395	0.601824	1.66161	5.09178	28.1441	2.413124	0.1331134	0.0221966	0.00256447	0.0458621	0.0116116	0.00759345	0.00581043	0.00845848	0.0209211	0.00325613	0.0104798	0.0412084	0.00265736	0.0131519	0.00198315	0.0283392	0.00315335	0.0230079	0.0206532	0.0262032	0.0051808	0.00915514	0.0258983	0.00013169	0.00859249	0.0110897	0.0110808	0.00749642	0.0192555	0.0562869	0.0173245	0.0219291	0.0116317	0.0383562	0.0136751	0.00209898	0.00374029	0.00647065	0.0129096	0.117215	0.0121147	0.0227973	0.0128005	0.0144683	0.0453383	0.0147257	0.00519267	0.000698547	0.0936341	0.022782	0.0327024	0.024115	0.479673
216	-753.3489	-825.4229	72.07394	0.0497843	0.0529511	0.0563393	0.08655	0.00643731	0.00374716	0.00376394	0.0351093	0.000567597	0.0218643	0.015671	0.000936737	0.00545691	0.0181881	0.0642561	0.00603694	0.0136304	0.0172415	0.0131417	0.0185583	0.00388904	0.0155024	0.0179313	0.00794272	0.00960034	0.00260042	0.0199132	0.0340686	0.0260282	0.00254313	0.0407886	0.0126678	0.00256101	0.025857	0.0432887	0.100888	0.00449643	0.0101176	0.206451	0.0582135	0.0415628	0.00471163	0.0380365	0.00564319	0.0165735	0.00566492	0.000115362	0.00169385	0.14857	0.0171386	0.00540992	0.161146	1.34176	0.0351172	0.195275	0.600751	1.66458	5.12099	28.4761	2.421605	0.04892985	0.035042	0.0372711	0.039656	0.0609206	0.00453108	0.00263754	0.00264935	0.0247127	0.000399519	0.0153898	0.0110305	0.000659349	0.003841	0.0128022	0.0452284	0.00424927	0.00959416	0.0121359	0.00925013	0.0130628	0.00273741	0.0109118	0.0126214	0.00559071	0.00675747	0.00183038	0.0140164	0.0239801	0.0183207	0.00179005	0.0287102	0.00891657	0.00180264	0.0182002	0.03047	0.0710127	0.00316493	0.00712154	0.145316	0.0409752	0.0292551	0.00331641	0.026773	0.00397211	0.0116657	0.00398741	8.12006e-05	0.00119227	0.104575	0.0120635	0.00380792	1.420701
252	-752.8458	-823.3625	70.51669	0.196104	0.0837719	0.101311	0.0775146	0.0146013	0.00288286	0.00273409	0.00953268	0.00854448	0.00984721	0.00163233	0.001148	0.0118361	0.0231429	0.118753	0.0150208	0.00835308	0.0434808	0.0605092	0.0839756	0.0528055	0.0341275	0.0533113	0.0201835	0.0188141	0.00426022	0.0824197	0.0182289	0.0195336	0.00495096	0.0939727	0.0285712	0.0199425	0.0882794	0.020738	0.0853142	0.015863	0.0212805	0.410428	0.276324	0.0446437	0.00865336	0.0446267	0.0118433	0.026866	0.0437554	0.00501551	0.000727286	0.273075	0.0167014	0.0530922	0.28618	1.29082	0.0894672	0.308123	0.692614	1.44381	3.24546	11.1773	1.745404	0.0903242	0.0707181	0.0302094	0.0365341	0.0279529	0.00526543	0.0010396	0.000985954	0.00343762	0.00308126	0.00355105	0.000588643	0.000413985	0.00426826	0.00834567	0.0428239	0.00541673	0.00301224	0.0156798	0.0218205	0.0302828	0.0190424	0.0123069	0.0192248	0.00727848	0.00678463	0.0015363	0.0297217	0.0065736	0.00704409	0.00178539	0.0338879	0.0103032	0.00719155	0.0318348	0.00747842	0.0307656	0.00572042	0.00767406	0.148006	0.0996465	0.0160992	0.00312053	0.0160931	0.00427086	0.00968828	0.0157788	0.00180867	0.00026227	0.0984748	0.00602277	0.0191458	2.773044
288	-760.1046	-831.559	71.45443	0.0786094	0.0880281	0.0556581	0.0255295	0.00707397	0.00703443	0.00154116	0.0194116	0.0176458	0.0222608	0.00417664	0.00264614	0.00626941	0.0104221	0.0584203	0.00964084	0.00044182	0.0329521	0.0143304	0.0919244	0.0279704	0.00311953	0.024008	0.0241962	0.00180133	0.0053824	0.0197957	0.00633164	0.00744766	0.00144282	0.0134578	0.0239389	0.00991389	0.0210066	0.0219083	0.130493	0.0110667	0.00718411	0.198529	0.143442	0.0174366	0.0213742	0.0423767	0.0107303	0.00188576	0.0688095	0.00907317	0.000843286	0.127681	0.0132208	0.0307145	0.702858	1.12106	0.0584499	0.250356	0.649174	1.54042	3.99432	17.1087	2.053215	0.2554279	0.0491125	0.054997	0.0347733	0.01595	0.00441957	0.00439487	0.000962864	0.0121277	0.0110245	0.0139078	0.00260942	0.00165322	0.00391691	0.00651136	0.036499	0.00602327	0.000276034	0.0205873	0.00895314	0.0574313	0.017475	0.00194898	0.0149994	0.0151169	0.00112541	0.00336274	0.0123677	0.00395579	0.00465305	0.000901427	0.00840797	0.0149562	0.00619386	0.0131242	0.0136876	0.0815279	0.00691412	0.00448839	0.124034	0.0896179	0.0108938	0.0133539	0.0264755	0.00670393	0.00117816	0.0429898	0.00566861	0.000526856	0.0797704	0.00825989	0.0191893	1.6006
324	-746.3189	-818.5131	72.19425	0.0411851	0.0156285	0.0256556	0.0671013	0.0128609	0.00553417	0.000720087	0.00552557	0.00204403	0.0174116	0.0196596	0.0105315	0.00376396	0.00239483	0.0467709	0.00253946	0.00462871	0.0127216	0.0167307	0.0178325	0.0110516	0.017026	0.000149718	0.023248	0.000300459	0.000832972	0.0139324	0.0222269	0.0397024	0.00143276	0.0203209	0.00666625	0.021645	0.000709257	0.0178595	0.0232804	0.110047	0.0073652	0.0293944	0.0144984	0.0195969	0.0126381	0.0034245	0.0161121	0.00669379	0.0805134	0.0159257	0.0120676	0.0247827	0.0314986	0.00307993	0.748571	1.10243	0.0587361	0.250953	0.649656	1.53928	3.98481	17.0253	2.049684	0.2766365	0.0438483	0.0166391	0.0273145	0.0714403	0.0136925	0.00589203	0.000766651	0.00588287	0.0021762	0.0185374	0.0209309	0.0112125	0.00400735	0.00254969	0.0497953	0.00270367	0.00492802	0.0135443	0.0178125	0.0189856	0.0117663	0.018127	0.000159399	0.0247513	0.000319887	0.000886835	0.0148333	0.0236641	0.0422696	0.0015254	0.0216349	0.00709731	0.0230446	0.00075512	0.0190144	0.0247858	0.117164	0.00784146	0.0312952	0.0154359	0.0208641	0.0134553	0.00364594	0.017154	0.00712663	0.0857196	0.0169555	0.012848	0.0263852	0.0335354	0.00327909	0.939264
